Lateral Profiles,,,,,,,,,,,,,,,,,,,,
Wedge 60,,,,,,,,,,,,,,,,,,,,
SSD=100cm,,,,,,,,,,,,,,,,,,,,
Scanning direction: Crossline,,,,,,,,,,,,,,,,,,,,
Detector: IBA Dosimetry CC13 Ionization chamber,,,,,,,,,,,,,,,,,,,,
,Dose[%],,,,Dose[%],,,,Dose[%],,,,Dose[%],,,,Dose[%],,,
Off axis position [cm],Depth:3 cm FieldSize:4x4 cm2,Depth:3 cm FieldSize:10x10 cm2,Depth:3 cm FieldSize:15x15 cm2,Depth:3 cm FieldSize:40x15 cm2,Depth:5 cm FieldSize:4x4 cm2,Depth:5 cm FieldSize:10x10 cm2,Depth:5 cm FieldSize:15x15 cm2,Depth:5 cm FieldSize:40x15 cm2,Depth:10 cm FieldSize:4x4 cm2,Depth:10 cm FieldSize:10x10 cm2,Depth:10 cm FieldSize:15x15 cm2,Depth:10 cm FieldSize:40x20 cm2,Depth:20 cm FieldSize:4x4 cm2,Depth:20 cm FieldSize:10x10 cm2,Depth:20 cm FieldSize:15x15 cm2,Depth:20 cm FieldSize:40x15 cm2,Depth:30 cm FieldSize:4x4 cm2,Depth:30 cm FieldSize:10x10 cm2,Depth:30 cm FieldSize:15x15 cm2,Depth:30 cm FieldSize:40x15 cm2
-14.7,,,,,,,,,,,,,,,,,,,11.213774999999998,15.7
-14.6,,,,,,,,,,,,,,,,,,,11.43855,15.98
-14.5,,,,,,,,,,,,,,,,,,,11.6883,16.233333333333334
-14.4,,,,,,,,,,,,,,,,,,,11.8881,16.424999999999997
-14.3,,,,,,,,,,,,,,,,,,,12.0879,16.6
-14.2,,,,,,,,,,,,,,,,,,,12.3876,16.8
-14.1,,,,,,,,,,,,,,,,,,,12.5541,17.1
-14,,,,,,,,,,,,,,,,,,,12.8871,17.3
-13.9,,,,,,,,,,,,,,,9.2,13.2,,,13.1535,17.5
-13.8,,,,,,,,,,,,,,,9.466666666666667,13.424999999999999,,,13.2867,17.675
-13.7,,,,,,,,,,,,,,,9.624999999999998,13.633333333333333,,,13.411574999999997,17.9
-13.6,,,,,,,,,,,,,,,9.75,13.8,,,13.7862,18.224999999999998
-13.5,,,,,,,,,,,,,,,10,14,,,13.986,18.550000000000004
-13.4,,,,,,,,,,,,,,,10.175,14.149999999999999,,,14.160825000000003,18.8
-13.3,,,,,,,,,,,,,,,10.333333333333334,14.325,,,14.510474999999998,19.075000000000003
-13.2,,,,,,,,,,,6.9,10.48,,,10.6,14.6,,,14.7852,19.3
-13.1,,,,,,,,,,,7.05,10.666666666666666,,,10.75,14.733333333333333,,,14.985,19.6
-13,,,,,,,,,,,7.2,10.775000000000002,,,10.9,14.95,,,15.1848,19.9
-12.9,,,,,,,,,,,7.3,10.966666666666667,,,11.166666666666666,15.2,,,15.564419999999997,20.25
