Diagonal Profiles,,,,,
Open field,,,,,
SSD=100cm,,,,,
Field Size=40x40cm2,,,,,
Detector: IBA Dosimetry CC13 Ionization chamber,,,,,
,Dose[%],,,,
Off axis position [cm],Depth:2.4 cm,Depth:5 cm,Depth:10 cm,Depth:20 cm,Depth:30 cm
-45.1,,,,1.2,
-45,,,,1.2,
-44.9,,,,1.2,
-44.8,,,,1.2,
-44.7,,,,1.2,
-44.6,,,,1.2,
-44.5,,,,1.2,
-44.4,,,,1.2,
-44.3,,,,1.2189929328621893,
-44.2,,,,1.3,
-44.1,,,,1.3,
-44,,,,1.3,
-43.9,,,,1.3,
-43.8,,,,1.3,
-43.7,,,,1.3,
-43.6,,,,1.3,
-43.5,,,,1.3,
-43.4,,,,1.3,
-43.3,,,,1.3175757575757563,
-43.2,,,,1.4,
-43.1,,,,1.4,
-43,,,,1.4,
-42.9,,,,1.4,
-42.8,,,,1.4,
-42.7,,,,1.4,
-42.6,,,,1.4,
-42.5,,,,1.4,
-42.4,,,,1.4,
-42.3,,,,1.4134343434343413,
-42.2,,,,1.5,
-42.1,,,,1.5,2.5
-42,,,,1.5,2.5
-41.9,,,,1.5,2.5746464646464657
-41.8,,,,1.5,2.6
-41.7,,,,1.5,2.6
-41.6,,,,1.5,2.6
-41.5,,,,1.5215151515151535,2.6072727272727274
-41.4,,,,1.6,2.7
-41.3,,,,1.6,2.7
-41.2,,,,1.6,2.7103030303030287
-41.1,,,,1.6,2.8
-41,,,,1.6,2.8
-40.9,,0.6,,1.6,2.8
-40.8,,0.6,,1.6125552608311229,2.82502210433245
-40.7,,0.6,,1.7,2.9
-40.6,,0.6,,1.7,2.9
-40.5,,0.6,,1.7,2.9
-40.4,,0.6,,1.7,2.945827439886848
-40.3,,0.6,0.9,1.7,3
-40.2,0.5,0.6,0.9,1.72040404040404,3
-40.1,0.5,0.6,0.9,1.8,3
-40,0.5,0.6,0.9,1.8,3.1
-39.9,0.5,0.6,0.9,1.8,3.1
-39.8,0.5,0.6,0.9,1.8,3.124545454545454
-39.7,0.5,0.6,0.9,1.8,3.2
-39.6,0.5,0.6,0.9,1.8122222222222202,3.2
